		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  261  227  267  231  261  219  258  245 10.095457 0.258390 SUCCESS  76
100101000  223  232  241  227  214  276  237  237 12.376904 0.135163 SUCCESS  77
100110000  269  282  258  240  243  241  249  233 10.258569 0.247345 SUCCESS  78
100111000  241  236  256  269  246  227  243  226  6.194542 0.625450 SUCCESS  79
101000000  215  245  240  263  234  229  229  258  8.366895 0.398476 SUCCESS  80
101000100  249  228  270  232  253  253  254  242  5.761343 0.673945 SUCCESS  81
101001000  230  237  241  229  256  231  241  255  3.940633 0.862440 SUCCESS  82
101001100  252  272  256  246  237  234  257  231  6.248560 0.619411 SUCCESS  83
101010000  226  239  261  255  246  251  251  247  3.661013 0.886341 SUCCESS  84
101010100  225  230  214  262  237  232  224  249 10.247977 0.248051 SUCCESS  85
101011000  245  245  246  251  242  263  225  243  3.305133 0.913776 SUCCESS  86
101011100  275  245  249  214  244  267  255  255 11.206524 0.190270 SUCCESS  87
101100000  232  250  240  260  224  238  231  258  5.329202 0.721880 SUCCESS  88
101100100  266  277  228  241  253  245  263  243  9.600825 0.294167 SUCCESS  89
101101000  233  238  245  241  267  219  226  257  7.713389 0.461956 SUCCESS  90
101101100  273  252  218  244  220  253  220  233 12.476466 0.131178 SUCCESS  91
101110000  227  253  217  263  237  229  246  234  7.836252 0.449627 SUCCESS  92
101110100  249  243  245  236  250  217  202  246 11.185340 0.191417 SUCCESS  93
101111000  259  265  235  270  236  251  242  225  8.021606 0.431362 SUCCESS  94
101111100  217  252  239  216  214  233  256  219 14.483588 0.070000 SUCCESS  95
110000000  218  262  242  237  234  268  265  235  9.527743 0.299747 SUCCESS  96
